Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.345700000000000074e+01,4.375000000000000000e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.000481367111206055e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.335900000000000176e+01,4.360399999999999920e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.991651058197021484e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.335900000000000176e+01,4.370100000000000051e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.991703033447265625e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.335900000000000176e+01,4.360399999999999920e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.983942747116088867e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.335900000000000176e+01,4.384799999999999898e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.983482360839843750e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.326200000000000045e+01,4.355499999999999972e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.975418090820312500e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.321300000000000097e+01,4.355499999999999972e+01,2.500000000000000000e+01,2.300000000000000000e+01
6.975684404373168945e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.321300000000000097e+01,4.345700000000000074e+01,2.500000000000000000e+01,2.300000000000000000e+01
7.967810392379760742e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.331099999999999994e+01,4.350600000000000023e+01,2.500000000000000000e+01,2.300000000000000000e+01
8.967139244079589844e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.321300000000000097e+01,4.355499999999999972e+01,2.500000000000000000e+01,2.300000000000000000e+01
9.959845781326293945e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.311500000000000199e+01,4.345700000000000074e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.095949006080627441e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.311500000000000199e+01,4.350600000000000023e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.195179247856140137e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.301800000000000068e+01,4.331099999999999994e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.295129656791687012e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.301800000000000068e+01,4.331099999999999994e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.394351863861083984e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.296900000000000119e+01,4.331099999999999994e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.494280362129211426e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.306600000000000250e+01,4.335900000000000176e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.593582987785339355e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.301800000000000068e+01,4.331099999999999994e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.693471121788024902e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.292000000000000171e+01,4.331099999999999994e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.792696285247802734e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.292000000000000171e+01,4.311500000000000199e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.892619490623474121e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.296900000000000119e+01,4.316400000000000148e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.991840362548828125e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.282200000000000273e+01,4.311500000000000199e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.091791129112243652e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.287100000000000222e+01,4.306600000000000250e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.191038846969604492e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.262700000000000244e+01,4.311500000000000199e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.290927791595458984e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.272500000000000142e+01,4.296900000000000119e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.390186762809753418e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.267600000000000193e+01,4.296900000000000119e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.490102243423461914e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.287100000000000222e+01,4.296900000000000119e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.589332818984985352e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.282200000000000273e+01,4.282200000000000273e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.689241838455200195e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.252900000000000347e+01,4.301800000000000068e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.788530540466308594e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.247999999999999687e+01,4.272500000000000142e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.888355326652526855e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.267600000000000193e+01,4.282200000000000273e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.987742567062377930e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.252900000000000347e+01,4.282200000000000273e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.087533020973205566e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.247999999999999687e+01,4.282200000000000273e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.186876654624938965e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.252900000000000347e+01,4.277300000000000324e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.286695170402526855e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.243200000000000216e+01,4.267600000000000193e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.385995006561279297e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.228499999999999659e+01,4.287100000000000222e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.485852146148681641e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.238300000000000267e+01,4.267600000000000193e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.585222506523132324e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.238300000000000267e+01,4.267600000000000193e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.685038948059082031e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.218800000000000239e+01,4.247999999999999687e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.784422397613525391e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.223599999999999710e+01,4.252900000000000347e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.884146046638488770e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.223599999999999710e+01,4.243200000000000216e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.983523106575012207e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.204099999999999682e+01,4.252900000000000347e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.083289504051208496e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.213900000000000290e+01,4.252900000000000347e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.182660055160522461e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.209000000000000341e+01,4.247999999999999687e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.282501721382141113e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.218800000000000239e+01,4.247999999999999687e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.381805992126464844e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.204099999999999682e+01,4.233400000000000318e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.481734895706176758e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.204099999999999682e+01,4.238300000000000267e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.580988478660583496e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.194299999999999784e+01,4.233400000000000318e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.680871796607971191e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.199199999999999733e+01,4.218800000000000239e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.780196404457092285e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.199199999999999733e+01,4.218800000000000239e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.880066776275634766e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.199199999999999733e+01,4.209000000000000341e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.979309272766113281e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.179699999999999704e+01,4.213900000000000290e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.079191803932189941e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.179699999999999704e+01,4.213900000000000290e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.178408432006835938e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.184599999999999653e+01,4.213900000000000290e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.278355407714843750e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.174799999999999756e+01,4.209000000000000341e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.377591156959533691e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.179699999999999704e+01,4.199199999999999733e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.477493929862976074e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.174799999999999756e+01,4.209000000000000341e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.576791572570800781e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.174799999999999756e+01,4.204099999999999682e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.676719474792480469e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.169899999999999807e+01,4.194299999999999784e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.775978374481201172e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.160199999999999676e+01,4.199199999999999733e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.875872850418090820e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.155299999999999727e+01,4.199199999999999733e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.975164198875427246e+01,8.418124253947075886e+01,0.000000000000000000e+00,4.164999999999999858e+01,4.184599999999999653e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.075097966194152832e+01,8.385670464017155723e+01,0.000000000000000000e+00,4.179699999999999704e+01,4.164999999999999858e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.174338769912719727e+01,8.596234941250439476e+01,0.000000000000000000e+00,4.184599999999999653e+01,4.179699999999999704e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.274253010749816895e+01,9.400656401784330285e+01,0.000000000000000000e+00,4.155299999999999727e+01,4.160199999999999676e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.373513817787170410e+01,8.879772787150014324e+01,0.000000000000000000e+00,4.174799999999999756e+01,4.164999999999999858e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.473430204391479492e+01,9.635186873789135120e+01,0.000000000000000000e+00,4.155299999999999727e+01,4.155299999999999727e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.572709679603576660e+01,9.607746436648372423e+01,0.000000000000000000e+00,4.155299999999999727e+01,4.160199999999999676e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.672615718841552734e+01,9.382447968000684568e+01,0.000000000000000000e+00,4.174799999999999756e+01,4.160199999999999676e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.771888041496276855e+01,9.741470405116083953e+01,0.000000000000000000e+00,4.174799999999999756e+01,4.140599999999999881e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.871832323074340820e+01,9.906418447432521646e+01,0.000000000000000000e+00,4.174799999999999756e+01,4.140599999999999881e+01,5.000000000000000000e+01,2.300000000000000000e+01
6.971036648750305176e+01,9.970780056658135493e+01,0.000000000000000000e+00,4.179699999999999704e+01,4.155299999999999727e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.071022248268127441e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.184599999999999653e+01,4.130899999999999750e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.170157575607299805e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.174799999999999756e+01,4.145499999999999829e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.270131325721740723e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.150399999999999778e+01,4.130899999999999750e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.369306755065917969e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.169899999999999807e+01,4.111299999999999955e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.469329690933227539e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.160199999999999676e+01,4.145499999999999829e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.568523073196411133e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.164999999999999858e+01,4.116199999999999903e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.668499517440795898e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.174799999999999756e+01,4.140599999999999881e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.767683029174804688e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.164999999999999858e+01,4.125999999999999801e+01,5.000000000000000000e+01,2.300000000000000000e+01
